bt2-tt	bowtie2	pre_batch_parsing_master	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER -g"	-I 250 -X 800
bt2-batch-tt	bowtie2	master	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER" NO_TBB=1 NO_QUEUELOCK=1	-I 250 -X 800 --reads-per-batch 32
bt2-tbb-q	bowtie2	cohort_locking_ptl_tkt	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER -g" WITH_TBB=1 NO_SPINLOCK=1 WITH_QUEUELOCK=1	-I 250 -X 800
bt2-cleanparse-tt	bowtie2	cleaner_parsing	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER -g"	-I 250 -X 800
bt2-cleanparse-tbb-spin	bowtie2	cleaner_parsing	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER -g" WITH_TBB=1	-I 250 -X 800
bt2-cleanparse-tbb-heavy	bowtie2	cleaner_parsing	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER -g" WITH_TBB=1 NO_SPINLOCK=1	-I 250 -X 800
bt2-cleanparse-tbb-q	bowtie2	cleaner_parsing	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER -g" WITH_TBB=1 NO_SPINLOCK=1 WITH_QUEUELOCK=1	-I 250 -X 800
bt2-batch-tbb-q	bowtie2	master	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER"	-I 250 -X 800 --reads-per-batch 32
bt2-batch-tbb-spin	bowtie2	master	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER" NO_QUEUELOCK=1	-I 250 -X 800 --reads-per-batch 32
bt2-batch-tbb-heavy	bowtie2	master	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER" NO_QUEUELOCK=1 NO_SPINLOCK=1	-I 250 -X 800 --reads-per-batch 32
bt2-tbb-spin	bowtie2	pre_batch_parsing_master	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER -g" WITH_TBB=1	-I 250 -X 800
bt2-tbb-heavy	bowtie2	pre_batch_parsing_master	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER -g" WITH_TBB=1 NO_SPINLOCK=1	-I 250 -X 800
bt2-batch1-tbb-q-tbbd-out1-p	bowtie2	batch_parsing_output	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER"	-I 250 -X 800 --reads-per-batch 1 --reads-per-out-batch 1
bt2-batch32-tbb-q-tbbd-out32-p	bowtie2	batch_parsing_output	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER"	-I 250 -X 800 --reads-per-batch 32 --reads-per-out-batch 32
bt2-batch32-tbb-h-tbbd-out32-p	bowtie2	batch_parsing_output	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER" NO_QUEUELOCK=1 NO_SPINLOCK=1	-I 250 -X 800 --reads-per-batch 32 --reads-per-out-batch 32
bt2-batch512-tbb-q-tbbd-out512-p	bowtie2	batch_parsing_output	WITH_THREAD_PROFILING=1 EXTRA_FLAGS="-DUSE_FINE_TIMER"	-I 250 -X 800 --reads-per-batch 512 --reads-per-out-batch 512
